,inicio,varinicio,varfim,PT_V,id,int,real,lit,leia,escreva,literal,num,rcb,opm,se,AB_P,FC_P,entao,opr,fimse,fim,EOF,P',P,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CABECALHO,EXP_R,CORPO
35,ERRO,ERRO7,ERRO,R15,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
36,ERRO,ERRO7,ERRO,ERRO,S40,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,S41,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,37,38,ERRO,ERRO,ERRO,ERRO
37,ERRO8,ERRO8,ERRO8,S42,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8,ERRO8
38,ERRO,ERRO7,ERRO,R19,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,S43,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
39,ERRO,ERRO7,ERRO,R29,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
40,ERRO,ERRO7,ERRO,R20,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,R20,ERRO,ERRO,R20,ERRO,R20,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
41,ERRO,ERRO7,ERRO,R21,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,R21,ERRO,ERRO,R21,ERRO,R21,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
42,ERRO,ERRO7,ERRO,ERRO,R17,ERRO,ERRO,ERRO,R17,R17,ERRO,ERRO,ERRO,ERRO,R17,ERRO,ERRO6,ERRO,ERRO,R17,R17,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
43,ERRO,ERRO7,ERRO,ERRO,S40,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,S41,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,44,ERRO,ERRO,ERRO,ERRO
44,ERRO,ERRO7,ERRO,R18,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
